frame_count,arrival_time
0,1746786387.5041065
3000,1746786387.5852656
12000,1746786387.6418202
15000,1746786387.7818058
18000,1746786387.7868
27000,1746786387.8912647
30000,1746786387.9862108
36000,1746786388.050034
48000,1746786388.1335409
51000,1746786388.1415377
54000,1746786388.2585983
63000,1746786388.3321238
69000,1746786388.3361247
75000,1746786388.4326832
81000,1746786388.5622475
84000,1746786388.5692635
90000,1746786388.7138188
105000,1746786388.722455
108000,1746786388.8808498
117000,1746786389.0072844
129000,1746786389.0142393
135000,1746786389.151869
141000,1746786389.3239183
153000,1746786389.3379254
165000,1746786389.4254873
171000,1746786389.4890878
174000,1746786389.5551648
180000,1746786389.6969244
192000,1746786389.7019372
195000,1746786389.8285367
204000,1746786389.8325372
207000,1746786389.9684532
216000,1746786390.0710948
228000,1746786390.0771277
231000,1746786390.2116935
237000,1746786390.2426593
243000,1746786390.3092594
252000,1746786390.3688972
255000,1746786390.4815671
264000,1746786390.6401782
279000,1746786390.7537456
285000,1746786390.881157
297000,1746786390.993272
306000,1746786391.0002692
312000,1746786391.1561787
321000,1746786391.2047236
327000,1746786391.2672544
333000,1746786391.3962004
345000,1746786391.5381973
357000,1746786391.5453842
363000,1746786391.6975272
366000,1746786391.743529
378000,1746786391.84118
384000,1746786391.935704
393000,1746786392.0160253
399000,1746786392.0816836
408000,1746786392.1136425
411000,1746786392.2592247
420000,1746786392.3644753
429000,1746786392.3690023
432000,1746786392.386957
441000,1746786392.5281777
447000,1746786392.5602202
450000,1746786392.6869392
459000,1746786392.7509391
468000,1746786392.8319879
474000,1746786392.9305077
483000,1746786393.1056657
498000,1746786393.1097066
501000,1746786393.3134537
507000,1746786393.3174505
510000,1746786393.5046425
540000,1746786393.617767
546000,1746786393.6813605
555000,1746786393.7768822
558000,1746786393.8579698
567000,1746786393.9540758
576000,1746786394.0961206
585000,1746786394.1932566
591000,1746786394.1992588
594000,1746786394.290593
606000,1746786394.3748214
612000,1746786394.4974911
621000,1746786394.6080806
630000,1746786394.6131146
633000,1746786394.737396
642000,1746786394.7683945
648000,1746786394.9112833
660000,1746786394.943283
666000,1746786395.040574
672000,1746786395.3121395
681000,1746786395.3171403
684000,1746786395.551315
717000,1746786395.6965775
729000,1746786395.729543
735000,1746786395.8559868
747000,1746786395.9994442
756000,1746786396.0044441
768000,1746786396.2410178
771000,1746786396.3679566
792000,1746786396.449734
801000,1746786396.5152557
810000,1746786396.6587915
819000,1746786396.817123
828000,1746786396.9605303
840000,1746786396.9655685
849000,1746786397.3594422
870000,1746786397.3644392
873000,1746786397.3694415
885000,1746786397.6335328
906000,1746786397.7466502
912000,1746786397.8102183
921000,1746786397.8404605
924000,1746786397.970915
933000,1746786398.1145692
945000,1746786398.2100081
954000,1746786398.2565782
963000,1746786398.3533626
966000,1746786398.421774
987000,1746786398.4910228
993000,1746786398.560592
1005000,1746786398.626866
1011000,1746786398.6891167
1017000,1746786398.767931
1023000,1746786398.8644178
1032000,1746786398.9308994
1038000,1746786398.992463
1044000,1746786399.0726445
1050000,1746786399.16823
1056000,1746786399.2308283
1065000,1746786399.31134
1068000,1746786399.4725559
1071000,1746786399.4781082
1074000,1746786399.6141171
