frame_count,raw_arrival_time,arrival_time
0,1746789089.9117055,1746789089.8614652
3000,1746789089.92789,1746789089.8776498
6000,1746789089.9366858,1746789089.8864455
9000,1746789089.9563992,1746789089.906159
12000,1746789089.9699085,1746789089.9196682
15000,1746789089.9889455,1746789089.9387052
18000,1746789090.0206745,1746789089.9704342
21000,1746789090.0550742,1746789090.004834
24000,1746789090.190204,1746789090.1399636
27000,1746789090.2198212,1746789090.169581
30000,1746789090.2389474,1746789090.188707
33000,1746789090.2670977,1746789090.2168574
36000,1746789090.2876916,1746789090.2374513
39000,1746789090.2991376,1746789090.2488973
42000,1746789090.322392,1746789090.2721517
45000,1746789090.3451936,1746789090.2949533
48000,1746789090.3634796,1746789090.3132393
51000,1746789090.3957434,1746789090.345503
54000,1746789090.4227445,1746789090.3725042
57000,1746789090.458335,1746789090.4080946
60000,1746789090.4698658,1746789090.4196255
63000,1746789090.4994757,1746789090.4492354
66000,1746789090.534536,1746789090.4842956
69000,1746789090.5635445,1746789090.5133042
72000,1746789090.6350174,1746789090.584777
75000,1746789090.6664448,1746789090.6162045
78000,1746789090.6926708,1746789090.6424305
81000,1746789090.7224638,1746789090.6722236
84000,1746789090.7399163,1746789090.689676
87000,1746789090.772917,1746789090.7226768
90000,1746789090.804751,1746789090.7545106
93000,1746789090.8389342,1746789090.788694
96000,1746789090.8725436,1746789090.8223033
99000,1746789090.9043956,1746789090.8541553
102000,1746789090.9345179,1746789090.8842776
105000,1746789090.969203,1746789090.9189627
108000,1746789090.9923146,1746789090.9420743
111000,1746789091.0502534,1746789091.000013
114000,1746789091.077821,1746789091.0275807
117000,1746789091.109131,1746789091.0588908
120000,1746789091.1404152,1746789091.090175
123000,1746789091.1799161,1746789091.1296759
126000,1746789091.2108529,1746789091.1606126
129000,1746789091.2353957,1746789091.1851554
132000,1746789091.2872586,1746789091.2370183
135000,1746789091.3175344,1746789091.2672942
138000,1746789091.3484879,1746789091.2982476
141000,1746789091.3837276,1746789091.3334873
144000,1746789091.4118452,1746789091.361605
147000,1746789091.4442847,1746789091.3940444
150000,1746789091.4753032,1746789091.425063
153000,1746789091.5105042,1746789091.460264
156000,1746789091.557794,1746789091.5075538
159000,1746789091.5886986,1746789091.5384583
162000,1746789091.618631,1746789091.5683906
165000,1746789091.653699,1746789091.6034586
168000,1746789091.6888998,1746789091.6386595
171000,1746789091.7208397,1746789091.6705995
174000,1746789091.7532787,1746789091.7030385
177000,1746789091.780275,1746789091.7300348
180000,1746789091.828661,1746789091.7784207
183000,1746789091.8648648,1746789091.8146245
186000,1746789091.8961825,1746789091.8459423
189000,1746789091.9282055,1746789091.8779652
192000,1746789091.9585032,1746789091.908263
195000,1746789091.9878688,1746789091.9376285
198000,1746789092.0233917,1746789091.9731514
201000,1746789092.0334132,1746789091.983173
204000,1746789092.0680919,1746789092.0178516
207000,1746789092.1037292,1746789092.053489
210000,1746789092.1349428,1746789092.0847025
213000,1746789092.170306,1746789092.1200657
216000,1746789092.2308192,1746789092.180579
219000,1746789092.2637029,1746789092.2134626
222000,1746789092.2936537,1746789092.2434134
225000,1746789092.3078682,1746789092.257628
228000,1746789092.343021,1746789092.2927806
231000,1746789092.3739028,1746789092.3236625
234000,1746789092.4265678,1746789092.3763275
237000,1746789092.4485178,1746789092.3982775
240000,1746789092.4753845,1746789092.4251442
243000,1746789092.5074785,1746789092.4572382
246000,1746789092.5375054,1746789092.487265
249000,1746789092.5596678,1746789092.5094275
252000,1746789092.6148243,1746789092.564584
255000,1746789092.6451867,1746789092.5949464
258000,1746789092.679436,1746789092.6291957
261000,1746789092.7297208,1746789092.6794806
264000,1746789092.758372,1746789092.7081318
267000,1746789092.7786517,1746789092.7284114
270000,1746789092.8056383,1746789092.755398
273000,1746789092.8532104,1746789092.8029702
276000,1746789092.8872135,1746789092.8369732
279000,1746789092.9159772,1746789092.865737
282000,1746789092.943205,1746789092.8929648
285000,1746789092.983007,1746789092.9327667
288000,1746789093.013504,1746789092.9632638
291000,1746789093.0400271,1746789092.9897869
294000,1746789093.0748386,1746789093.0245984
297000,1746789093.1238692,1746789093.073629
300000,1746789093.1603615,1746789093.1101213
303000,1746789093.191857,1746789093.1416168
306000,1746789093.22307,1746789093.1728296
309000,1746789093.2505143,1746789093.200274
312000,1746789093.2799358,1746789093.2296956
315000,1746789093.316171,1746789093.2659307
318000,1746789093.3480356,1746789093.2977953
321000,1746789093.3645322,1746789093.314292
324000,1746789093.4418666,1746789093.3916264
327000,1746789093.471095,1746789093.4208548
330000,1746789093.5034575,1746789093.4532173
333000,1746789093.5384583,1746789093.488218
336000,1746789093.5588088,1746789093.5085685
339000,1746789093.588403,1746789093.5381627
342000,1746789093.5972846,1746789093.5470443
345000,1746789093.6353319,1746789093.5850916
348000,1746789093.6684523,1746789093.618212
351000,1746789093.6985264,1746789093.648286
354000,1746789093.7349913,1746789093.684751
357000,1746789093.7636204,1746789093.71338
360000,1746789093.8306437,1746789093.7804034
363000,1746789093.8650641,1746789093.8148239
366000,1746789093.8728008,1746789093.8225605
369000,1746789093.9100058,1746789093.8597655
372000,1746789093.9405422,1746789093.890302
375000,1746789093.9737818,1746789093.9235415
378000,1746789094.0091798,1746789093.9589396
381000,1746789094.0331252,1746789093.982885
384000,1746789094.0684803,1746789094.01824
387000,1746789094.0979702,1746789094.04773
390000,1746789094.1301804,1746789094.07994
393000,1746789094.1801314,1746789094.1298912
396000,1746789094.2134943,1746789094.163254
399000,1746789094.2449017,1746789094.1946614
402000,1746789094.278427,1746789094.2281866
405000,1746789094.308304,1746789094.2580638
408000,1746789094.355638,1746789094.3053977
411000,1746789094.3808231,1746789094.3305829
414000,1746789094.4248824,1746789094.3746421
417000,1746789094.4560163,1746789094.405776
420000,1746789094.4961755,1746789094.4459352
423000,1746789094.5186574,1746789094.4684172
426000,1746789094.551309,1746789094.5010688
429000,1746789094.5811334,1746789094.530893
432000,1746789094.6103468,1746789094.5601065
435000,1746789094.6451833,1746789094.594943
438000,1746789094.695024,1746789094.6447837
441000,1746789094.7283337,1746789094.6780934
444000,1746789094.7554605,1746789094.7052202
447000,1746789094.795814,1746789094.7455738
450000,1746789094.820377,1746789094.7701368
453000,1746789094.8535383,1746789094.803298
456000,1746789094.9033911,1746789094.8531508
459000,1746789094.9258616,1746789094.8756213
462000,1746789094.944434,1746789094.8941936
465000,1746789094.9736195,1746789094.9233792
468000,1746789095.0540884,1746789095.003848
471000,1746789095.0874126,1746789095.0371723
474000,1746789095.1075156,1746789095.0572753
477000,1746789095.129788,1746789095.0795476
480000,1746789095.1580014,1746789095.1077611
483000,1746789095.1746259,1746789095.1243856
486000,1746789095.2849329,1746789095.2346926
489000,1746789095.2879045,1746789095.2376642
492000,1746789095.2907329,1746789095.2404926
495000,1746789095.3005612,1746789095.250321
498000,1746789095.3353336,1746789095.2850933
501000,1746789095.3757274,1746789095.3254871
504000,1746789095.4330606,1746789095.3828204
507000,1746789095.437528,1746789095.3872876
510000,1746789095.4754426,1746789095.4252024
513000,1746789095.507651,1746789095.4574108
516000,1746789095.5382879,1746789095.4880476
519000,1746789095.5705762,1746789095.520336
522000,1746789095.6000416,1746789095.5498013
525000,1746789095.633682,1746789095.5834417
528000,1746789095.671088,1746789095.6208477
531000,1746789095.6978726,1746789095.6476324
534000,1746789095.7486522,1746789095.698412
537000,1746789095.7780757,1746789095.7278354
540000,1746789095.8133953,1746789095.763155
543000,1746789095.8465257,1746789095.7962854
546000,1746789095.8749173,1746789095.824677
549000,1746789095.9088123,1746789095.858572
552000,1746789095.9436846,1746789095.8934443
555000,1746789095.9895515,1746789095.9393113
558000,1746789096.0208454,1746789095.9706051
561000,1746789096.0534918,1746789096.0032516
564000,1746789096.0882003,1746789096.03796
567000,1746789096.120349,1746789096.0701087
570000,1746789096.1480143,1746789096.097774
573000,1746789096.1832597,1746789096.1330194
576000,1746789096.2136552,1746789096.163415
579000,1746789096.2826166,1746789096.2323763
582000,1746789096.2983835,1746789096.2481432
585000,1746789096.3330073,1746789096.282767
588000,1746789096.3586717,1746789096.3084314
591000,1746789096.3878233,1746789096.337583
594000,1746789096.423083,1746789096.3728428
597000,1746789096.4554937,1746789096.4052534
600000,1746789096.4673405,1746789096.4171002
603000,1746789096.487467,1746789096.4372268
606000,1746789096.5484025,1746789096.4981623
609000,1746789096.5701683,1746789096.519928
612000,1746789096.6506903,1746789096.60045
615000,1746789096.671069,1746789096.6208286
618000,1746789096.7002118,1746789096.6499715
621000,1746789096.7333457,1746789096.6831055
624000,1746789096.750868,1746789096.7006278
627000,1746789096.784861,1746789096.7346208
630000,1746789096.8132532,1746789096.763013
633000,1746789096.8504398,1746789096.8001995
636000,1746789096.8781292,1746789096.827889
639000,1746789096.907536,1746789096.8572958
642000,1746789096.9429173,1746789096.892677
645000,1746789096.9708467,1746789096.9206064
648000,1746789097.006699,1746789096.9564588
651000,1746789097.0455093,1746789096.995269
654000,1746789097.078792,1746789097.0285518
657000,1746789097.1083338,1746789097.0580935
660000,1746789097.1403236,1746789097.0900834
663000,1746789097.172975,1746789097.1227348
666000,1746789097.2054827,1746789097.1552424
669000,1746789097.2329674,1746789097.182727
672000,1746789097.2699358,1746789097.2196956
675000,1746789097.318301,1746789097.2680607
678000,1746789097.3507752,1746789097.300535
681000,1746789097.3963087,1746789097.3460684
684000,1746789097.4130175,1746789097.3627772
687000,1746789097.4454176,1746789097.3951774
690000,1746789097.4803414,1746789097.4301012
693000,1746789097.510363,1746789097.4601228
696000,1746789097.5674527,1746789097.5172124
699000,1746789097.5927885,1746789097.5425482
702000,1746789097.623138,1746789097.5728977
705000,1746789097.6538935,1746789097.6036532
708000,1746789097.7060802,1746789097.65584
711000,1746789097.7282336,1746789097.6779933
714000,1746789097.7501376,1746789097.6998973
717000,1746789097.7853227,1746789097.7350824
720000,1746789097.833575,1746789097.7833347
723000,1746789097.8651307,1746789097.8148904
726000,1746789097.8956583,1746789097.845418
729000,1746789097.925534,1746789097.8752937
732000,1746789097.9566689,1746789097.9064286
735000,1746789097.9881942,1746789097.937954
738000,1746789098.0258777,1746789097.9756374
741000,1746789098.029006,1746789097.9787657
744000,1746789098.0503213,1746789098.000081
747000,1746789098.1062958,1746789098.0560555
750000,1746789098.135199,1746789098.0849588
753000,1746789098.1654785,1746789098.1152382
756000,1746789098.2309096,1746789098.1806693
759000,1746789098.2597663,1746789098.209526
762000,1746789098.289973,1746789098.2397327
765000,1746789098.305835,1746789098.2555947
768000,1746789098.3381622,1746789098.287922
771000,1746789098.3729749,1746789098.3227346
774000,1746789098.403979,1746789098.3537388
777000,1746789098.4396777,1746789098.3894374
780000,1746789098.465837,1746789098.4155967
783000,1746789098.4949217,1746789098.4446814
786000,1746789098.5301392,1746789098.479899
789000,1746789098.5632179,1746789098.5129776
792000,1746789098.6106699,1746789098.5604296
795000,1746789098.6449063,1746789098.594666
798000,1746789098.6854792,1746789098.635239
801000,1746789098.7078774,1746789098.6576371
804000,1746789098.7407434,1746789098.6905031
807000,1746789098.7757235,1746789098.7254832
810000,1746789098.804982,1746789098.7547417
813000,1746789098.8563323,1746789098.806092
816000,1746789098.8830338,1746789098.8327935
819000,1746789098.9209933,1746789098.870753
822000,1746789098.9478893,1746789098.897649
825000,1746789098.9830241,1746789098.9327838
828000,1746789099.0288184,1746789098.978578
831000,1746789099.0635412,1746789099.013301
834000,1746789099.0827773,1746789099.032537
837000,1746789099.1250436,1746789099.0748034
840000,1746789099.1565452,1746789099.106305
843000,1746789099.1882298,1746789099.1379895
846000,1746789099.2238212,1746789099.173581
849000,1746789099.2681704,1746789099.21793
852000,1746789099.3065166,1746789099.2562764
855000,1746789099.3242092,1746789099.273969
858000,1746789099.355835,1746789099.3055947
861000,1746789099.370499,1746789099.3202586
864000,1746789099.4450212,1746789099.3947809
867000,1746789099.4658868,1746789099.4156466
870000,1746789099.4948506,1746789099.4446104
873000,1746789099.5383737,1746789099.4881334
876000,1746789099.5625184,1746789099.512278
879000,1746789099.5884116,1746789099.5381713
882000,1746789099.6031847,1746789099.5529444
885000,1746789099.6324925,1746789099.5822523
888000,1746789099.6689003,1746789099.61866
891000,1746789099.705479,1746789099.6552386
894000,1746789099.7453504,1746789099.69511
897000,1746789099.7685685,1746789099.7183282
900000,1746789099.8299472,1746789099.779707
903000,1746789099.865955,1746789099.8157148
906000,1746789099.879853,1746789099.8296127
909000,1746789099.9099667,1746789099.8597264
912000,1746789099.9503906,1746789099.9001503
915000,1746789099.978181,1746789099.9279406
918000,1746789100.0054293,1746789099.955189
921000,1746789100.0406208,1746789099.9903805
924000,1746789100.0802765,1746789100.0300362
927000,1746789100.1001112,1746789100.049871
930000,1746789100.1520233,1746789100.101783
933000,1746789100.2052388,1746789100.1549985
936000,1746789100.228244,1746789100.1780038
939000,1746789100.25847,1746789100.2082298
942000,1746789100.2916963,1746789100.241456
945000,1746789100.316631,1746789100.2663908
948000,1746789100.3452334,1746789100.2949932
951000,1746789100.3736894,1746789100.3234491
954000,1746789100.425886,1746789100.3756456
957000,1746789100.4563327,1746789100.4060924
960000,1746789100.4859588,1746789100.4357185
963000,1746789100.5199168,1746789100.4696765
966000,1746789100.5562768,1746789100.5060365
969000,1746789100.5774605,1746789100.5272202
972000,1746789100.6256778,1746789100.5754375
975000,1746789100.6437056,1746789100.5934653
978000,1746789100.7001848,1746789100.6499445
981000,1746789100.7254674,1746789100.6752272
984000,1746789100.7554696,1746789100.7052293
987000,1746789100.783649,1746789100.7334087
990000,1746789100.825829,1746789100.7755888
993000,1746789100.8505614,1746789100.800321
996000,1746789100.8882709,1746789100.8380306
999000,1746789100.913568,1746789100.8633277
1002000,1746789100.9252229,1746789100.8749826
1005000,1746789100.9629316,1746789100.9126914
1008000,1746789101.0252535,1746789100.9750133
1011000,1746789101.0599513,1746789101.009711
1014000,1746789101.091826,1746789101.0415857
1017000,1746789101.1204894,1746789101.070249
1020000,1746789101.153064,1746789101.1028237
1023000,1746789101.16264,1746789101.1123998
1026000,1746789101.2047615,1746789101.1545212
1029000,1746789101.2355535,1746789101.1853132
1032000,1746789101.2850986,1746789101.2348583
1035000,1746789101.296947,1746789101.2467067
1038000,1746789101.3309472,1746789101.280707
1041000,1746789101.3718662,1746789101.321626
1044000,1746789101.4297488,1746789101.3795085
1047000,1746789101.4400814,1746789101.389841
1050000,1746789101.4813323,1746789101.431092
1053000,1746789101.5280988,1746789101.4778585
1056000,1746789101.5491946,1746789101.4989543
1059000,1746789101.5792375,1746789101.5289972
1062000,1746789101.6030998,1746789101.5528595
1065000,1746789101.6355221,1746789101.5852818
1068000,1746789101.6678584,1746789101.617618
1071000,1746789101.7026877,1746789101.6524475
1074000,1746789101.75549,1746789101.7052498
1077000,1746789101.782055,1746789101.7318146
1080000,1746789101.8127542,1746789101.7625139
1083000,1746789101.8429332,1746789101.792693
1086000,1746789101.8808253,1746789101.830585
1089000,1746789101.9156303,1746789101.86539
1092000,1746789101.9432857,1746789101.8930454
1095000,1746789101.9891899,1746789101.9389496
1098000,1746789102.0417871,1746789101.9915469
1101000,1746789102.053536,1746789102.0032957
1104000,1746789102.1014302,1746789102.05119
1107000,1746789102.1133611,1746789102.0631208
1110000,1746789102.1555262,1746789102.105286
1113000,1746789102.1814325,1746789102.1311922
1116000,1746789102.2153535,1746789102.1651132
1119000,1746789102.263284,1746789102.2130437
1122000,1746789102.288771,1746789102.2385306
1125000,1746789102.333389,1746789102.2831488
1128000,1746789102.3659463,1746789102.315706
1131000,1746789102.4004512,1746789102.350211
1134000,1746789102.4282134,1746789102.377973
1137000,1746789102.480565,1746789102.4303248
1140000,1746789102.5046482,1746789102.454408
1143000,1746789102.5128374,1746789102.4625971
1146000,1746789102.5374103,1746789102.48717
1149000,1746789102.566824,1746789102.5165837
1152000,1746789102.6458583,1746789102.595618
1155000,1746789102.6688383,1746789102.618598
