frame_count,raw_send_time,send_time
0,1746789089.9894228,1746789089.9391825
15000,1746789090.0565138,1746789090.0062735
21000,1746789090.1187074,1746789090.0684671
24000,1746789090.2299955,1746789090.1797552
27000,1746789090.291526,1746789090.2412858
36000,1746789090.3511868,1746789090.3009465
45000,1746789090.407253,1746789090.3570127
51000,1746789090.464487,1746789090.4142468
57000,1746789090.6067195,1746789090.5564792
69000,1746789090.6837323,1746789090.633492
75000,1746789090.756514,1746789090.7062738
84000,1746789090.8288133,1746789090.778573
90000,1746789090.9019184,1746789090.8516781
96000,1746789090.9834955,1746789090.9332552
105000,1746789091.0620935,1746789091.0118532
111000,1746789091.135775,1746789091.0855348
117000,1746789091.2084615,1746789091.1582212
126000,1746789091.2826355,1746789091.2323952
129000,1746789091.3584604,1746789091.3082201
138000,1746789091.437884,1746789091.3876438
144000,1746789091.5243592,1746789091.474119
153000,1746789091.598519,1746789091.5482788
159000,1746789091.6693683,1746789091.619128
165000,1746789091.7475688,1746789091.6973286
171000,1746789091.8220816,1746789091.7718413
177000,1746789091.897896,1746789091.8476558
186000,1746789091.9753737,1746789091.9251335
192000,1746789092.0507836,1746789092.0005434
201000,1746789092.1214986,1746789092.0712583
207000,1746789092.2095788,1746789092.1593385
213000,1746789092.2826269,1746789092.2323866
219000,1746789092.3575718,1746789092.3073316
228000,1746789092.428657,1746789092.3784168
234000,1746789092.503405,1746789092.4531648
240000,1746789092.5788057,1746789092.5285654
249000,1746789092.6513162,1746789092.601076
255000,1746789092.7245343,1746789092.674294
258000,1746789092.8076363,1746789092.757396
270000,1746789092.881999,1746789092.8317587
273000,1746789092.956506,1746789092.9062657
282000,1746789093.0292325,1746789092.9789922
288000,1746789093.112316,1746789093.0620756
294000,1746789093.1875765,1746789093.1373363
300000,1746789093.259805,1746789093.2095647
309000,1746789093.3321087,1746789093.2818685
315000,1746789093.405501,1746789093.3552606
321000,1746789093.4835002,1746789093.43326
327000,1746789093.556577,1746789093.5063367
336000,1746789093.631805,1746789093.5815647
342000,1746789093.7063918,1746789093.6561515
351000,1746789093.783882,1746789093.7336416
357000,1746789093.857909,1746789093.8076687
360000,1746789093.931753,1746789093.8815126
369000,1746789094.0117896,1746789093.9615493
378000,1746789094.0869565,1746789094.0367162
384000,1746789094.160813,1746789094.1105728
390000,1746789094.2355273,1746789094.185287
396000,1746789094.305769,1746789094.2555287
405000,1746789094.3830297,1746789094.3327894
411000,1746789094.453696,1746789094.4034557
417000,1746789094.5330348,1746789094.4827945
423000,1746789094.616887,1746789094.5666468
432000,1746789094.6872442,1746789094.637004
435000,1746789094.7630014,1746789094.7127612
444000,1746789094.8354306,1746789094.7851903
450000,1746789094.9059412,1746789094.855701
456000,1746789094.9931126,1746789094.9428723
465000,1746789095.0708416,1746789095.0206013
468000,1746789095.1480663,1746789095.097826
477000,1746789095.230417,1746789095.1801767
483000,1746789095.3177187,1746789095.2674785
495000,1746789095.393964,1746789095.3437238
501000,1746789095.4692822,1746789095.4190419
507000,1746789095.5417902,1746789095.49155
516000,1746789095.6147294,1746789095.5644891
522000,1746789095.6897087,1746789095.6394684
528000,1746789095.7632115,1746789095.7129712
534000,1746789095.8400881,1746789095.7898479
540000,1746789095.910556,1746789095.8603158
549000,1746789095.9844024,1746789095.9341621
552000,1746789096.059502,1746789096.0092616
561000,1746789096.1366158,1746789096.0863755
567000,1746789096.207621,1746789096.1573808
573000,1746789096.2802284,1746789096.229988
579000,1746789096.371501,1746789096.3212607
